Date,Campus,Is_Weekend,Is_Vacation,Exams,Placement,Akaira,Pravrutti,Freshers_Day,Senior_Sendoff,Convocation,Rajyotsava,Religious_Fest,Industrial_Visit,Temp,Humidity,Hostel_Occupancy,Day_Scholar_Occupancy,Total_Occupancy,Water_Price_Index,Peak_Factor,Water_Usage_L
2015-01-01,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,21.7,47.7,750,2200,2950,0.82,1.0,170874
2015-01-02,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,23.0,54.9,750,2200,2950,1.0,1.0,198152
2015-01-03,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,22.3,30.2,300,400,700,0.91,1.0,104743
2015-01-04,Peenya,1,0,1,1,0,0,0,0,0,0,0,0,21.9,35.1,300,400,700,1.01,1.0,81016
2015-01-05,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,20.6,35.6,750,2200,2950,0.88,1.0,155251
2015-01-06,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,20.5,57.1,750,2200,2950,0.83,1.0,167075
2015-01-07,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,23.5,58.8,750,2200,2950,0.99,1.0,200201
2015-01-08,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,23.0,50.3,750,2200,2950,1.07,1.0,213674
2015-01-09,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,25.8,38.8,750,2200,2950,1.07,1.0,217956
2015-01-10,Peenya,1,0,1,1,0,0,0,0,0,0,0,0,21.0,42.2,300,400,700,1.11,1.0,122817
2015-01-11,Peenya,1,0,1,1,0,0,0,0,0,0,0,0,26.3,31.6,300,400,700,0.85,1.0,78593
2015-01-12,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,24.5,45.9,750,2200,2950,0.85,1.0,152120
2015-01-13,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,27.0,48.3,750,2200,2950,0.93,1.0,184126
2015-01-14,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,24.9,46.8,750,2200,2950,1.08,1.0,213107
2015-01-15,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,26.0,48.9,750,2200,2950,1.16,1.0,234896
2015-01-16,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,25.3,42.8,750,2200,2950,1.04,1.0,222307
2015-01-17,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,24.4,53.8,300,400,700,1.19,1.0,123911
2015-01-18,Peenya,1,0,1,1,0,0,0,0,0,0,0,0,22.6,35.7,300,400,700,0.83,1.0,76691
2015-01-19,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,25.2,36.7,750,2200,2950,1.03,1.0,175386
2015-01-20,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,21.6,46.1,750,2200,2950,1.06,1.0,210849
2015-01-21,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,20.3,52.9,750,2200,2950,0.95,1.0,202027
2015-01-22,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,23.4,59.0,750,2200,2950,1.01,1.0,209225
2015-01-23,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,26.0,34.2,750,2200,2950,1.0,1.0,210784
2015-01-24,Peenya,1,0,1,1,0,0,0,0,0,0,0,0,20.3,43.9,300,400,700,0.95,1.0,108906
2015-01-25,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,26.7,43.5,300,400,700,1.07,1.0,84426
2015-01-26,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,22.7,43.1,750,2200,2950,0.93,1.0,160249
2015-01-27,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,24.0,34.4,750,2200,2950,0.91,1.0,180411
2015-01-28,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,20.5,41.7,750,2200,2950,1.07,1.0,211070
2015-01-29,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,26.3,38.9,750,2200,2950,1.0,1.0,208018
2015-01-30,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,21.7,40.8,750,2200,2950,0.81,1.0,183397
2015-01-31,Peenya,1,0,1,1,0,0,0,0,0,0,0,0,25.9,59.9,300,400,700,0.95,1.0,103757
2015-02-01,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,24.5,45.3,300,400,700,1.14,1.0,86268
2015-02-02,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,21.2,37.3,750,2200,2950,1.11,1.0,188549
2015-02-03,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,26.4,59.5,750,2200,2950,1.16,1.0,227469
2015-02-04,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,26.1,44.5,750,2200,2950,0.81,1.0,189849
2015-02-05,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,23.0,37.0,750,2200,2950,1.07,1.0,214117
2015-02-06,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,25.8,33.5,750,2200,2950,1.15,1.0,229933
2015-02-07,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,25.9,31.4,300,400,700,0.99,1.0,116065
2015-02-08,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,26.5,32.2,300,400,700,1.06,1.0,86836
2015-02-09,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,26.5,54.4,750,2200,2950,0.9,1.0,159539
2015-02-10,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,20.5,37.8,750,2200,2950,1.05,1.0,202076
2015-02-11,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,20.6,56.5,750,2200,2950,1.07,1.0,219648
2015-02-12,Peenya,0,0,1,1,0,0,0,0,0,0,0,0,20.9,52.6,750,2200,2950,1.11,1.0,229580
2015-02-13,Gnanagangothri,0,0,1,1,0,0,0,0,0,0,0,0,24.6,53.6,750,2200,2950,1.18,1.0,242243
2015-02-14,Gnanagangothri,1,0,1,1,0,0,0,0,0,0,0,0,26.9,57.4,300,400,700,1.18,1.0,130503
